n_features,feature_file,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_roc_auc_mean,cv_roc_auc_std,cv_mcc_mean,cv_mcc_std,oob_accuracy,oob_balanced_accuracy,oob_f1,oob_precision,oob_recall,oob_roc_auc,oob_mcc,oob_kappa,oob_score_sklearn
1000,selected_features_top1000.csv,0.8435283687943261,0.0421169273766656,0.8897610722610722,0.04048885606404022,0.8433140323033939,0.04217999359556265,0.8510958825453505,0.04101903823970991,0.8435283687943261,0.0421169273766656,0.9600357327779155,0.011851593804595089,0.8123332416524909,0.0517751534790828,0.8135593220338984,0.8787621837367456,0.8091441369551108,0.81240946178308,0.8135593220338984,0.9510299200503869,0.7774981230118558,0.7750725642247541,0.8135593220338984
2000,selected_features_top2000.csv,0.8817375886524822,0.04980849599542525,0.9177913752913753,0.04538236659856221,0.8816012435161371,0.05007385066441057,0.8885130177151452,0.04895662470829664,0.8817375886524822,0.04980849599542525,0.9720707520807084,0.011591789862759902,0.8590215961405064,0.06021249493384574,0.8686440677966102,0.8996812386156648,0.8679600893904885,0.8694960062343572,0.8686440677966102,0.9709721525439592,0.8422967417976343,0.8419870410367171,0.8686440677966102
3000,selected_features_top3000.csv,0.8900709219858156,0.03280860569140532,0.9159265734265734,0.038022166109793705,0.8902763105303577,0.03266963331634377,0.9003530925339435,0.02771319792594552,0.8900709219858156,0.03280860569140532,0.9722702844717424,0.013428862946836415,0.8687310350315973,0.040054110058911595,0.8771186440677966,0.9012948878268268,0.8761894615448952,0.8787395576307195,0.8771186440677966,0.9756545046422263,0.8524126261277036,0.8519672095689226,0.8771186440677966
4000,selected_features_top4000.csv,0.8899822695035461,0.03840648179894676,0.9155769230769231,0.04100110622220736,0.8891857224900704,0.03849905458066018,0.8959118231059721,0.03504598496622469,0.8899822695035461,0.03840648179894676,0.9731530003954305,0.013137131833524036,0.8684699913887686,0.046361764249655754,0.885593220338983,0.9121244953777459,0.8856680107200037,0.887335305070586,0.885593220338983,0.9786036469503674,0.8622550934297889,0.8620450756673668,0.885593220338983
5000,selected_features_top5000.csv,0.890159574468085,0.041913408549131725,0.9190705128205128,0.04061070967427306,0.8896319827173202,0.04302223397250247,0.899185485023251,0.04305949237724671,0.890159574468085,0.041913408549131725,0.9755863940159024,0.009879517674447323,0.869383601996657,0.05100895639069692,0.8601694915254238,0.8900706233238738,0.8593046979895272,0.862164633314228,0.8601694915254238,0.9714492280230138,0.8318089838871879,0.8312971146347803,0.8601694915254238
6000,selected_features_top6000.csv,0.8903368794326241,0.06466382793593185,0.9050553613053613,0.06725309847600044,0.8880010416828178,0.06610262659071987,0.8982026926973736,0.058878855606306145,0.8903368794326241,0.06466382793593185,0.9761880871539216,0.01342648822216761,0.8685458703827859,0.078726228985947,0.8559322033898306,0.8906018922977657,0.8554790486056111,0.8582924504074968,0.8559322033898306,0.9744667214584348,0.8267608377031083,0.8262902667128507,0.8559322033898306
7000,selected_features_top7000.csv,0.8900709219858156,0.04024471194074073,0.9077826340326342,0.04283374400474341,0.8887539446312187,0.04045835844158459,0.8993334753308156,0.03844974256067704,0.8900709219858156,0.04024471194074073,0.9777489992039359,0.01475209348512029,0.8690338208106658,0.04881089129765873,0.885593220338983,0.9090012143290831,0.8847306358766356,0.8859974949656135,0.885593220338983,0.97305460179017,0.8623242033877956,0.8620391019117933,0.885593220338983
8000,selected_features_top8000.csv,0.9027482269503546,0.03366413865938781,0.925282634032634,0.03391795202082131,0.9018193834636943,0.03341162851331399,0.9101350894967917,0.0326327711296381,0.9027482269503546,0.03366413865938781,0.9801684542538804,0.01114929762216004,0.8842857048710446,0.04077195039115531,0.8983050847457628,0.9205332008610698,0.8975462380276336,0.8994811151162924,0.8983050847457628,0.9785147897812241,0.8778088749523307,0.8774052509685938,0.8983050847457628
9000,selected_features_top9000.csv,0.8900709219858156,0.03280860569140532,0.9153583916083916,0.03907924538926529,0.8883814929113386,0.03320055529100435,0.9008169829579404,0.033821749994360134,0.8900709219858156,0.03280860569140532,0.9734732379730631,0.01353163935762928,0.8701659492423216,0.04016747214726808,0.8601694915254238,0.8855803655549275,0.8588399876941818,0.8639573996141149,0.8601694915254238,0.9721641762018407,0.8319270957940104,0.8311764323340054,0.8601694915254238
10000,selected_features_top10000.csv,0.8690602836879433,0.05436327506479752,0.8942307692307694,0.061554771288877805,0.8678191106863755,0.055408947057190745,0.8798617768165642,0.04779030860511009,0.8690602836879433,0.05436327506479752,0.9741504336023169,0.017750054161541337,0.8437824007781198,0.06554500384619329,0.8983050847457628,0.9184955833062107,0.8981369508054089,0.9003972415449939,0.8983050847457628,0.9788847603213355,0.8776366899548043,0.8772671130468699,0.8983050847457628
11000,selected_features_top11000.csv,0.8900709219858156,0.029922018595360242,0.9160868298368298,0.03467044141888363,0.888764869787315,0.02871693039376594,0.9002955245109501,0.02789864316384101,0.8900709219858156,0.029922018595360242,0.9718710850009048,0.006139429412461656,0.8697577712235678,0.036411481687182334,0.885593220338983,0.9160517460263079,0.8847144167396863,0.8849449347809107,0.885593220338983,0.9659121282124603,0.8625153526957413,0.8623847266915751,0.885593220338983
