feature,importance_mean,importance_std,importance_median,importance_min,importance_max,importance_range,importance_q25,importance_q75,importance_iqr,importance_cv,stability_score,rank_mean,rank_std,rank_median,rank_min,rank_max,top_1pct_frequency,top_5pct_frequency,top_10pct_frequency,above_mean_frequency,importance_zscore,overall_rank
cg06485166,0.0004263101510697864,0.0007789234644355486,0.0,0.0,0.002986285447453148,0.002986285447453148,0.0,0.0006945429338958951,0.0006945429338958951,1.827128159552607,-0.827128159552607,76753.13,45377.29907170655,103642.5,2.0,103684.5,26.0,26.0,26.0,26.0,31.622260183338813,1.0
cg18671774,0.00036874430389495635,0.0006730315302739366,0.0,0.0,0.0028356617385759853,0.0028356617385759853,0.0,0.0002484350197034423,0.0002484350197034423,1.8251979505719145,-0.8251979505719145,77795.68,44780.31590601612,103642.75,2.0,103684.5,25.0,25.0,25.0,25.0,27.303069093485856,2.0
cg06501000,0.00036605992543950976,0.0006543179630039625,0.0,0.0,0.002629533715417816,0.002629533715417816,0.0,0.00024088969490078935,0.00024088969490078935,1.7874608466694937,-0.7874608466694937,77792.795,44787.65963857093,103643.75,8.0,103684.5,25.0,25.0,25.0,25.0,27.101658985312763,3.0
cg17517538,0.00034902853495258465,0.0006870975767244911,0.0,0.0,0.0031241422128588463,0.0031241422128588463,0.0,0.0,0.0,1.968599444048002,-0.9685994440480019,79868.09,43513.876754167744,103643.25,4.0,103684.5,23.0,23.0,23.0,23.0,25.823786190085364,4.0
cg18303242,0.00031997660811601927,0.0007504891799755443,0.0,0.0,0.003633259713293908,0.003633259713293908,0.0,0.0,0.0,2.3454494059718467,-1.3454494059718467,85021.545,39759.37963085534,103645.0,1.0,103683.5,18.0,18.0,18.0,18.0,23.644007211857833,5.0
cg06005892,0.00031663203620979066,0.0007986936969824383,0.0,0.0,0.005364323849676773,0.005364323849676773,0.0,0.0,0.0,2.522465680657407,-1.5224656806574068,86050.15,38888.6227401087,103644.5,1.0,103684.5,17.0,17.0,17.0,17.0,23.393062495750687,6.0
cg23872155,0.0003137767419802289,0.0006895465101858513,0.0,0.0,0.003455819136323128,0.003455819136323128,0.0,0.0,0.0,2.197569794616327,-1.197569794616327,83990.14,40594.15540340014,103644.75,3.0,103684.5,19.0,19.0,19.0,19.0,23.178828501108395,7.0
cg08006672,0.0003099612292842545,0.0007152568524649894,0.0,0.0,0.003347154285530892,0.003347154285530892,0.0,0.0,0.0,2.3075680250714528,-1.3075680250714528,85024.185,39757.07817399658,103646.0,3.0,103684.5,18.0,18.0,18.0,18.0,22.8925488883091,8.0
cg09965760,0.000304891773365172,0.0006740813212630085,0.0,0.0,0.002968321126778832,0.002968321126778832,0.0,0.0,0.0,2.210886481896009,-1.2108864818960088,85015.425,39772.349124258115,103644.25,5.0,103684.5,18.0,18.0,18.0,18.0,22.512185358356966,9.0
cg24290114,0.0002946368591141739,0.0007271825060797261,0.0,0.0,0.0033081159719469456,0.0033081159719469456,0.0,0.0,0.0,2.468062758541904,-1.4680627585419042,87088.39,37948.706190236575,103645.25,1.0,103684.0,16.0,16.0,16.0,16.0,21.74275458587832,10.0
cg03499361,0.00028758669287838406,0.0006879489825138559,0.0,0.0,0.0033917420080561878,0.0033917420080561878,0.0,0.0,0.0,2.392143865955551,-1.3921438659555512,86059.695,38871.71506776456,103646.25,1.0,103684.5,17.0,17.0,17.0,17.0,21.21377748084025,11.0
cg26559671,0.0002853935110199017,0.0006248890732377212,0.0,0.0,0.003001790145469799,0.003001790145469799,0.0,0.0,0.0,2.189569244401008,-1.189569244401008,84000.69,40569.9277056159,103643.75,3.0,103684.5,19.0,19.0,19.0,19.0,21.049222071574494,12.0
cg23925619,0.0002850985566545275,0.0006550733331155105,0.0,0.0,0.003277449454168397,0.003277449454168397,0.0,0.0,0.0,2.297707540268439,-1.2977075402684388,85027.905,39747.46963409716,103645.25,2.0,103684.5,18.0,18.0,18.0,17.0,21.02709151449317,13.0
cg20168106,0.0002849907487003867,0.0006474103642748985,0.0,0.0,0.002736545880312398,0.002736545880312398,0.0,0.0,0.0,2.2716882567535586,-1.2716882567535586,86052.175,38888.45077612215,103647.0,8.0,103684.5,17.0,17.0,17.0,17.0,21.019002635795246,14.0
cg04920279,0.00028125140188308865,0.0005774028412167078,0.0,0.0,0.002328519117569393,0.002328519117569393,0.0,0.0,0.0,2.0529769169258487,-1.0529769169258487,82971.01,41359.95824695547,103644.75,11.0,103684.5,20.0,20.0,20.0,20.0,20.738437782713305,15.0
cg00744981,0.00027728554495434147,0.0005584681513396982,0.0,0.0,0.0016310851409772945,0.0016310851409772945,0.0,0.0,0.0,2.0140535996072098,-1.0140535996072098,82966.53,41367.69863817783,103644.75,82.0,103684.0,20.0,20.0,20.0,20.0,20.440877775331604,16.0
cg13081604,0.0002766959214732323,0.000657563410599989,0.0,0.0,0.004138476194539292,0.004138476194539292,0.0,0.0,0.0,2.3764830701174433,-1.3764830701174433,85037.765,39726.7516697159,103645.25,1.0,103684.0,18.0,18.0,18.0,18.0,20.396638063576116,17.0
cg01975883,0.0002743077452748073,0.0007133414920448417,0.0,0.0,0.002962870359699901,0.002962870359699901,0.0,0.0,0.0,2.600514364910713,-1.6005143649107132,89151.79,35936.72304810081,103647.0,2.0,103684.5,14.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002,20.21745214234909,18.0
cg17466320,0.0002726347807346678,0.0005679770258786948,0.0,0.0,0.0017046582214398306,0.0017046582214398306,0.0,0.0,0.0,2.083288185092715,-1.083288185092715,83995.505,40582.601501289624,103645.25,51.0,103684.5,19.0,19.0,19.0,19.0,20.09192886960952,19.0
cg21279207,0.00027045158416369864,0.000729548736602694,0.0,0.0,0.004383388895440857,0.004383388895440857,0.0,0.0,0.0,2.6975196655130227,-1.6975196655130227,88133.605,36937.71093451075,103645.0,1.0,103684.5,15.0,15.0,15.0,15.0,19.928122660902314,20.0
cg15596189,0.00026650134183604264,0.0005613614220813479,0.0,0.0,0.0018984479595378593,0.0018984479595378593,0.0,0.0,0.0,2.1064104502170364,-1.1064104502170364,82973.025,41355.3711901716,103644.25,20.0,103684.5,20.0,20.0,20.0,19.0,19.631734223978,21.0
cg10385448,0.0002627465806497873,0.0005747354176834149,0.0,0.0,0.0024846942516928965,0.0024846942516928965,0.0,0.0,0.0,2.187412667829188,-1.187412667829188,84010.36,40550.593959033446,103643.75,6.0,103684.5,19.0,19.0,19.0,19.0,19.350012823944635,22.0
cg13441012,0.0002622160533049419,0.0006696503171165559,0.0,0.0,0.0030700767247050977,0.0030700767247050977,0.0,0.0,0.0,2.5538103151783798,-1.5538103151783798,88129.015,36948.01136796506,103645.5,5.0,103684.5,15.0,15.0,15.0,15.0,19.310207121549247,23.0
cg17244660,0.0002607956047151229,0.0006043984809692811,0.0,0.0,0.0028744675743797455,0.0028744675743797455,0.0,0.0,0.0,2.3175170067677637,-1.3175170067677637,86066.535,38855.92070825597,103645.5,3.0,103684.5,17.0,17.0,17.0,17.0,19.20363023275427,24.0
cg19980260,0.00025894653258313083,0.0006828522628995937,0.0,0.0,0.003272044836974215,0.003272044836974215,0.0,0.0,0.0,2.637038590105529,-1.6370385901055289,89154.175,35927.52519186195,103646.0,1.0,103684.5,14.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002,19.064893529153956,25.0
cg09490523,0.0002587404987606276,0.000539967658073744,0.0,0.0,0.001650760554043888,0.001650760554043888,0.0,0.0,0.0,2.0869073530021933,-1.0869073530021933,84003.84,40565.638322407794,103644.5,77.0,103684.5,19.0,19.0,19.0,19.0,19.049434719911357,26.0
cg16553721,0.0002573488382330309,0.0006306847949156185,0.0,0.0,0.0032412018574921315,0.0032412018574921315,0.0,0.0,0.0,2.4506990362809655,-1.4506990362809655,87097.255,37925.94124517512,103644.75,2.0,103684.5,16.0,16.0,16.0,16.0,18.945017812215365,27.0
cg05754861,0.0002567323117038603,0.0005956409682849678,0.0,0.0,0.001999596581024181,0.001999596581024181,0.0,0.0,0.0,2.3200848086607664,-1.3200848086607664,87087.375,37951.365840399936,103647.0,20.0,103684.0,16.0,16.0,16.0,16.0,18.89875955281089,28.0
cg04116217,0.0002547575331311119,0.0006304126024309148,0.0,0.0,0.003406581460525031,0.003406581460525031,0.0,0.0,0.0,2.474558248492091,-1.474558248492091,87100.115,37920.30931083336,103644.75,1.0,103684.5,16.0,16.0,16.0,16.0,18.750591039109647,29.0
cg03588039,0.00025048655480408236,0.0006592728146391734,0.0,0.0,0.0036561047210443387,0.0036561047210443387,0.0,0.0,0.0,2.6319678194226452,-1.6319678194226452,89156.3,35925.05668659411,103646.0,1.0,103684.5,14.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002,18.43013763765034,30.0
cg21985251,0.0002496171977534772,0.0006167287659857375,0.0,0.0,0.0030342278628610413,0.0030342278628610413,0.0,0.0,0.0,2.470697229463724,-1.470697229463724,87103.76,37914.65079790924,103645.25,3.0,103684.5,16.0,16.0,16.0,16.0,18.364909391890823,31.0
cg02751695,0.00024717896714653823,0.0005893108652599184,0.0,0.0,0.0027213630406290957,0.0027213630406290957,0.0,0.0,0.0,2.384145518724488,-1.384145518724488,87096.105,37932.21642847245,103645.25,8.0,103684.5,16.0,16.0,16.0,16.0,18.181967866153975,32.0
cg03991534,0.0002449233489594242,0.0005848094246070299,0.0,0.0,0.003115215580100561,0.003115215580100561,0.0,0.0,0.0,2.387723295142368,-1.3877232951423681,86073.385,38838.02559778593,103644.75,2.0,103684.5,17.0,17.0,17.0,17.0,18.012727831410718,33.0
cg26572677,0.00024482069308119007,0.0005733125448180176,0.0,0.0,0.002823082837974269,0.002823082837974269,0.0,0.0,0.0,2.3417641026425793,-1.3417641026425793,85053.09,39695.479119754935,103645.5,5.0,103684.5,18.0,18.0,18.0,17.0,18.005025515257127,34.0
cg05047713,0.0002445379001532752,0.0006501840273457335,0.0,0.0,0.003930891739327312,0.003930891739327312,0.0,0.0,0.0,2.658826141287659,-1.6588261412876588,89156.65,35924.82077599692,103646.75,2.0,103684.5,14.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002,17.98380743623166,35.0
